TIME,WEIGHT,POROSITY,Picture?
1.29671538751e-06,3.3067,22.2255061367,1
0.5609013728,3.3149,22.2806212516,1
0.933885345074,3.3178,22.3001131824,0
1.30888246799,3.3196,22.3122116223,0
1.68096262964,3.3192,22.3095230801,0
2.05488574803,3.3159,22.287342607,0
2.42888666934,3.316,22.2880147426,0
2.80294334942,3.3173,22.2967525047,0
3.17488865267,3.3162,22.2893590137,0
3.54967019665,3.3136,22.2718834895,0
3.92288498426,3.3121,22.2618014562,0
4.29488637045,3.3105,22.2510472875,0
4.66888340162,3.3097,22.2456702031,0
5.04288886144,3.3099,22.2470144742,0
5.41788890196,3.3104,22.2503751519,0
5.79204218734,3.3103,22.2497030164,0
6.16393108347,3.3104,22.2503751519,0
6.53788435049,3.311,22.2544079652,0
6.91288666027,3.3117,22.2591129141,0
7.28389152068,3.3122,22.2624735918,0
7.65888475345,3.3129,22.2671785406,0
8.03188979735,3.3137,22.272555625,0
8.40688756862,3.3144,22.2772605738,0
8.77988612894,3.315,22.2812933871,0
9.15203760993,3.3156,22.2853262004,0
9.52688755565,3.3161,22.2886868781,0
9.89989097865,3.3167,22.2927196914,0
10.2698902363,3.3312,22.3901793457,0
10.645905605,3.3332,22.4036220567,0
11.0198873997,3.3356,22.4197533098,0
11.3908873975,3.337,22.4291632075,0
11.7658858171,3.3391,22.443278054,0
12.1388847016,3.3427,22.4674749337,0
12.5128979417,3.3452,22.4842783223,0
12.8858854799,3.3462,22.4909996778,0
13.2598909398,3.3452,22.4842783223,0
13.634892277,3.3442,22.4775569669,0
14.0058883846,3.344,22.4762126958,0
14.3789200111,3.3442,22.4775569669,0
14.7528865695,3.3441,22.4768848313,0
15.1268917051,3.344,22.4762126958,0
15.5018836412,3.3438,22.4748684247,0
15.8748844708,3.3436,22.4735241536,0
16.2478856245,3.3436,22.4735241536,0
16.6228869618,3.3435,22.472852018,0
16.9958864946,3.3434,22.4721798825,0
17.369892927,3.343,22.4694913403,0
17.7428762509,3.3418,22.4614257137,0
18.1168875459,3.3406,22.4533600872,0
18.4898870788,3.3399,22.4486551383,0
18.8639090717,3.34,22.4493272739,0
19.2388860955,3.34,22.4493272739,0
19.610898828,3.3396,22.4466387317,0
19.9849363815,3.3387,22.4405895118,0
20.3538609863,3.3098,22.2463423387,0
20.7308936282,3.3114,22.2570965074,0
21.1038899192,3.3126,22.265162134,0
