TIME,WEIGHT,POROSITY
1897.59129541,4.1032,27.5790657695
1912.52923267,4.1069,27.6039347848
1927.47123642,4.1108,27.6301480711
1942.41024703,4.1174,27.6745090172
1957.35124227,4.1155,27.6617384418
1972.29223913,4.1193,27.6872795926
1987.23227965,4.1262,27.7336569454
2002.17324507,4.1262,27.7336569454
2017.1123257,4.1302,27.7605423673
2032.05224596,4.133,27.7793621626
2046.99124912,4.1381,27.8136410755
2061.92823264,4.1352,27.7941491446
2076.87225441,4.1363,27.8015426356
2091.81326131,4.1382,27.814313211
2106.75425979,4.1424,27.842542904
2121.69226642,4.1448,27.8586741571
2136.6323063,4.1479,27.8795103591
2151.57340528,4.1508,27.89900229
2166.5122726,4.1519,27.906395781
2181.45526575,4.1489,27.8862317146
2196.39527224,4.1567,27.9386582872
2211.33328406,4.1572,27.942018965
2226.2762717,4.1598,27.9594944892
2241.21631352,4.1638,27.9863799111
2256.15628176,4.1714,28.0374622127
2271.0942832,4.1732,28.0495606525
2286.03528298,4.173,28.0482163814
2300.97728187,4.1773,28.07711821
2315.9162847,4.181,28.1019872252
2330.85728415,4.1774,28.0777903455
2345.79728967,4.1811,28.1026593607
2360.73529144,4.1893,28.1577744756
2375.67729357,4.19,28.1624794244
2390.61629608,4.193,28.1826434908
2405.55729521,4.1981,28.2169224038
2420.49829693,4.2024,28.2458242323
2435.43729814,4.2028,28.2485127745
2450.37832287,4.2094,28.2928737206
2465.31730334,4.2112,28.3049721604
2480.25833553,4.2145,28.3271526335
2495.19729589,4.2186,28.3547101909
2510.13930678,4.2206,28.3681529019
2525.07931554,4.2232,28.3856284261
2540.01931231,4.2254,28.4004154081
2554.95831222,4.2331,28.4521698452
2569.89931913,4.2342,28.4595633363
2584.83932821,4.2363,28.4736781828
2599.77832002,4.2408,28.5039242824
2614.71733063,4.2453,28.534170382
2629.66132485,4.2469,28.5449245507
2644.59933245,4.2506,28.569793566
2659.54035654,4.2542,28.5939904457
2674.48032867,4.2545,28.5960068523
2689.42133525,4.2588,28.6249086809
2704.36133104,4.2639,28.6591875938
2719.30234702,4.2667,28.6780073891
2734.24133656,4.2701,28.7008599977
2749.1823399,4.2714,28.7095977598
2764.12240377,4.2747,28.7317782328
2779.06234283,4.2808,28.7727785012
2794.00333353,4.2844,28.7969753809
2808.94335039,4.2866,28.811762363
2823.88135249,4.2865,28.8110902274
2838.82334911,4.2951,28.8688938845
2853.76332545,4.2959,28.8742709688
2868.70338284,4.2984,28.8910743575
2883.64535709,4.2947,28.8662053423
2898.58435863,4.3013,28.9105662884
2913.52536132,4.3048,28.9340910325
2928.46436869,4.3064,28.9448452013
2943.40436481,4.3117,28.9804683853
2958.34436968,4.3174,29.0187801115
2973.28536816,4.3162,29.0107144849
2988.22637214,4.316,29.0093702138
3003.16537692,4.3173,29.0181079759
3018.10537336,4.3206,29.040288449
3033.04637735,4.3213,29.0449933978
3047.98438106,4.3249,29.0691902775
3062.92638417,4.3291,29.0974199705
3077.86638418,4.3294,29.0994363771
3092.80638418,4.3272,29.0846493951
3107.74840577,4.33,29.1034691904
3122.68539124,4.3409,29.176731965
3137.62738656,4.3408,29.1760598295
3152.56439278,4.3438,29.1962238959
3167.508434,4.3444,29.2002567092
3182.44639589,4.3475,29.2210929112
3197.38839673,4.3415,29.1807647783
3212.3293978,4.3499,29.2372241643
3227.26737623,4.3544,29.2674702639
3242.20940527,4.3519,29.2506668752
3257.14740445,4.3592,29.2997327702
3272.08742585,4.3634,29.3279624631
3287.02937968,4.3619,29.3178804299
3301.96841007,4.3624,29.3212411077
3316.90848334,4.3691,29.3662741893
3331.85041513,4.3655,29.3420773096
3346.78842468,4.3676,29.3561921561
3361.72941926,4.3718,29.3844218491
3376.67141686,4.3753,29.4079465933
3391.61042585,4.3801,29.4402090995
3406.55142271,4.3763,29.4146679487
3421.48942999,4.3755,29.4092908643
3436.42942448,4.3769,29.418700762
3451.36743046,4.3789,29.4321434729
3466.31143635,4.383,29.4597010304
3481.2524371,4.3854,29.4758322835
3496.19143636,4.3825,29.4563403526
3511.13044017,4.3895,29.5033898409
3526.07143962,4.39,29.5067505187
3541.01243874,4.3937,29.5316195339
3555.95345635,4.3881,29.4939799433
3570.89250359,4.3938,29.5322916695
3585.83145164,4.3977,29.5585049558
3600.77342978,4.4055,29.6109315285
3615.71344956,4.4048,29.6062265797
3630.65445226,4.4046,29.6048823086
3645.5924524,4.4075,29.6243742394
3660.53445681,4.4067,29.618997155
3675.47345705,4.4104,29.6438661703
3690.41546534,4.4142,29.6694073211
3705.35446039,4.4189,29.7009976918
3720.29647193,4.4209,29.7144404027
3735.23446365,4.4242,29.7366208758
3750.1734681,4.4268,29.7540964
3765.11446496,4.4291,29.7695555176
3780.05547381,4.4299,29.774932602
3794.99448086,4.4315,29.7856867707
3809.93747336,4.4323,29.7910638551
3824.87746364,4.4332,29.797113075
3839.8165031,4.4376,29.8266870391
3854.75547935,4.4386,29.8334083946
3869.69748181,4.4419,29.8555888676
3884.63748279,4.4458,29.881802154
3899.57657315,4.4514,29.9194417446
3914.51548683,4.4427,29.860965952
3929.45848874,4.4367,29.8206378192
3944.39549009,4.4357,29.8139164637
3959.33749449,4.4392,29.8374412079
3974.27649927,4.4394,29.838785479
3989.21650349,4.4409,29.8488675122
4004.15950248,4.4423,29.8582774098
4019.09750457,4.4424,29.8589495454
4034.03750295,4.4449,29.8757529341
4048.97950509,4.4446,29.8737365274
4063.91964384,4.4417,29.8542445965
4078.86050876,4.4436,29.8670151719
4093.79950284,4.4465,29.8865071028
4108.74051072,4.4469,29.889195645
4123.68057524,4.4457,29.8811300184
4138.61851962,4.4482,29.8979334071
4153.56151861,4.4474,29.8925563227
4168.50052047,4.4497,29.9080154403
4183.44052145,4.4495,29.9066711692
4198.38052729,4.4541,29.9375894044
4213.32052243,4.46,29.9772454017
4228.26052568,4.4625,29.9940487903
4243.20052147,4.4649,30.0101800435
4258.14253074,4.4625,29.9940487903
4273.08254371,4.461,29.9839667571
4288.02353636,4.4605,29.9806060794
4302.96353539,4.4621,29.9913602482
4317.90153878,4.4654,30.0135407212
4332.84354189,4.4685,30.0343769232
4347.78361192,4.4709,30.0505081763
4362.72354385,4.4699,30.0437868208
4377.66455172,4.4718,30.0565573962
4392.60359832,4.4744,30.0740329205
4407.54454655,4.4753,30.0800821404
4422.48568767,4.4781,30.0989019357
4437.42355522,4.4841,30.1392300685
4452.36562317,4.4845,30.1419186107
4467.30456084,4.4868,30.1573777283
4482.24556126,4.4852,30.1466235595
4497.18356271,4.4929,30.1983779967
4512.1235666,4.4939,30.2050993521
4527.06556744,4.5007,30.2508045693
4542.00356564,4.5066,30.2904605666
4556.94656787,4.5077,30.2978540576
4571.88556778,4.5103,30.3153295819
4586.82657339,4.5189,30.3731332389
4601.76657275,4.5228,30.3993465253
4616.70757642,4.5229,30.4000186608
4631.64757772,4.5225,30.3973301186
4646.58758356,4.5266,30.424887676
4661.52858107,4.5278,30.4329533026
4676.46658575,4.532,30.4611829956
4691.4095883,4.5309,30.4537895046
4706.34658706,4.5273,30.4295926249
4721.28758684,4.541,30.5216751948
4736.22459921,4.5435,30.5384785835
4751.16759366,4.5678,30.7018075215
4766.10759755,4.606,30.9585633005
4781.04959936,4.6214,31.0620721747
4795.98960261,4.6502,31.2556472123
4810.93064842,4.6683,31.3773037463
4825.86864176,4.7027,31.6085183745
4840.80867062,4.7212,31.7328634507
4855.7496075,4.725,31.7584046015
4870.67961729,4.7857,32.1663908786
4885.62061609,4.8222,32.4117203533
4900.56061999,4.9019,32.9474123844
4915.5016217,4.9123,33.0173144813
4930.43862371,4.9395,33.2001353501
4945.38865251,4.9421,33.2176108743
4960.32562695,4.9423,33.2189551454
4975.26064303,4.9932,33.5610721389
4990.20263026,5.0325,33.8252214089
5005.14062133,5.0247,33.7727948363
5020.08464018,5.0658,34.0490425461
5035.0216357,5.0923,34.2271584661
5049.97361476,5.1209,34.4193892326
5064.90864089,5.1286,34.4711436697
5079.84565294,5.1462,34.589439526
5094.78565554,5.1495,34.6116199991
5109.73262312,5.1325,34.4973569561
5124.67166972,5.1417,34.5591934264
5139.61564708,5.1595,34.6788335538
5154.55364333,5.1638,34.7077353823
5169.49464765,5.1868,34.8623265582
5184.43365015,5.1946,34.9147531308
5199.37374482,5.2013,34.9597862125
5214.3147125,5.2155,35.0552294602
5229.252653,5.2386,35.2104927716
5244.19465546,5.2307,35.1573940633
5259.13365959,5.2309,35.1587383344
5274.07679732,5.252,35.3005589349
5289.01466942,5.2104,35.0209505473
5303.95466294,5.2584,35.3435756099
5318.89566531,5.2516,35.2978703927
5333.83666962,5.2743,35.4504451619
5348.77566824,5.2851,35.523035801
5363.71767588,5.2842,35.516986581
5378.65672637,5.2666,35.3986907248
5393.59567669,5.2955,35.5929378979
5408.53676561,5.3043,35.652085826
5423.47568189,5.3105,35.6937582299
5438.41868087,5.3038,35.6487251483
5453.35668523,5.3185,35.7475290737
5468.29870325,5.3173,35.7394634471
5483.23768566,5.3213,35.766348869
5498.17869289,5.322,35.7710538179
5513.11670406,5.3235,35.7811358511
5528.05869258,5.3267,35.8026441886
5542.99869453,5.3523,35.9747108886
5557.93770158,5.3398,35.8906939452
5572.87869714,5.3418,35.9041366562
5587.81670344,5.3521,35.9733666175
5602.75870266,5.3725,36.1104822692
5617.69670249,5.368,36.0802361695
5632.63974686,5.3697,36.0916624738
5647.57873315,5.3702,36.0950231516
5662.52070579,5.3845,36.1911385348
5677.46071422,5.3616,36.0372194945
5692.39875068,5.3532,35.9807601086
5707.34070873,5.3395,35.8886775386
5722.28071911,5.3547,35.9908421418
5737.21871893,5.3803,36.1629088418
5752.16272157,5.3834,36.1837450438
5767.10072172,5.3758,36.1326627422
5782.04072529,5.3928,36.2469257852
5796.98172377,5.4018,36.3074179845
5811.92272711,5.3976,36.2791882915
5826.86183238,5.4195,36.4263859763
5841.80274755,5.4104,36.3652216415
5856.74378201,5.4042,36.3235492376
5871.67971227,5.4264,36.4727633291
5886.62373761,5.436,36.5372883416
5901.56371654,5.429,36.4902388533
5916.50274434,5.4434,36.5870263721
5931.44374443,5.4447,36.5957641342
5946.38374347,5.4449,36.5971084053
5961.32276867,5.4746,36.7967326628
5976.2647533,5.4831,36.8538641843
5991.20475071,5.4736,36.7900113073
6006.1457534,5.4913,36.9089792991
6021.08279074,5.4922,36.9150285191
6036.02776332,5.5031,36.9882912937
6050.96576574,5.5103,37.0366850531
6065.90676033,5.4961,36.9412418054
6080.84676714,5.4904,36.9029300792
6095.78676326,5.5252,37.1368332496
6110.72676391,5.5459,37.2759653079
6125.6678376,5.5379,37.2221944641
6140.60778866,5.5638,37.3962775708
6155.54477607,5.5684,37.427195806
6170.48777441,5.5777,37.4897044119
6185.42881697,5.5665,37.4144252306
6200.36878035,5.5723,37.4534090923
6215.30680545,5.5786,37.4957536318
6230.2478169,5.5949,37.605311726
6245.18878393,5.5966,37.6167380303
6260.12878426,5.6124,37.7229354467
6275.06978695,5.6173,37.7558700885
6290.00678928,5.6225,37.790821137
6304.94979118,5.6328,37.8600510983
6319.88781402,5.6538,38.0011995632
6334.83179883,5.6666,38.0872329132
6349.76879889,5.6785,38.1672170434
6364.7118063,5.6939,38.2707259176
6379.650802,5.702,38.3251688969
6394.59180275,5.707,38.3587756743
6409.53080655,5.7439,38.6067936912
6424.47080721,5.7693,38.7775161201
6439.40881222,5.7954,38.9529434979
6454.35181866,5.8077,39.0356161702
6469.28982108,5.8045,39.0141078327
6484.23184493,5.8507,39.3246344555
6499.17282558,5.8723,39.4698157337
6514.11178854,5.8948,39.6210462318
6529.05283175,5.9156,39.7608504256
6543.99182389,5.9068,39.7017024974
6558.93182422,5.9427,39.9429991589
6573.87287553,5.9702,40.1278364343
6588.81184109,5.9552,40.0270161022
6603.75382701,5.9674,40.109016639
6618.6958298,5.9906,40.2649520859
6633.6318343,6.0247,40.4941503075
6648.57183398,6.0389,40.5895935552
6663.51283829,6.0719,40.8113982857
6678.45489197,6.0922,40.9478418018
6693.39383191,6.1189,41.1273019929
6708.33384392,6.1347,41.2334994093
6723.27684874,6.1486,41.3269262504
6738.21484532,6.132,41.2153517496
6753.15485083,6.1413,41.2778603554
6768.09285163,6.1647,41.4351400735
6783.03401122,6.1753,41.5063864415
6797.97585937,6.1794,41.5339439989
6812.91782844,6.2004,41.6750924638
6827.8568624,6.2474,41.9909961709
6842.79887069,6.2357,41.9123563119
6857.73585681,6.2712,42.1509644311
6872.67586557,6.2409,41.9473073604
6887.61586525,6.277,42.1899482929
6902.55687831,6.2419,41.9540287158
6917.49687378,6.2727,42.1610464644
6932.43789203,6.2833,42.2322928324
6947.3778982,6.3207,42.483671527
6962.31887496,6.3204,42.4816551203
6977.25887658,6.3332,42.5676884704
6992.19588021,6.3022,42.3593264508
7007.13888081,6.2976,42.3284082156
7022.078886,6.2838,42.2356535101
7037.01988545,6.2689,42.1355053136
